人物,出现次数
孙少平,1405
孙少安,1094
孙玉亭,666
田福堂,634
田润叶,459
田福军,446
田晓霞,414
孙玉厚,275
金俊武,275
金波,268
秀莲,212
郝红梅,209
兰香,167
金俊山,161
徐治功,158
王满银,156
田海民,147
顾养民,145
润生,136
兰花,129
张有智,125
金光亮,114
李登云,112
冯世宽,109
李向前,94
苗凯,93
刘玉升,91
徐国强,89
金俊文,86
金强,75
乔伯年,73
白明川,68
金秀,67
武惠良,64
安锁子,62
胡永合,61
丽丽,60
侯玉英,59
惠英嫂,57
刘根民,54
吴月琴,51
福军,50
吴斌,50
田二,48
吴仲平,48
贺凤英,46
